month,category,net_inflow_crore,month_key
2024-04-01,ELSS,466.0,202404
2024-04-01,Flexi Cap,4947.0,202404
2024-04-01,Gilt,784.0,202404
2024-04-01,Hybrid,2955.0,202404
2024-04-01,Large & Mid Cap,4214.0,202404
2024-04-01,Large Cap,2413.0,202404
2024-04-01,Liquid,37537.0,202404
2024-04-01,Mid Cap,3897.0,202404
2024-04-01,Sectoral/Thematic,8052.0,202404
2024-04-01,Short Duration,4400.0,202404
2024-04-01,Small Cap,3533.0,202404
2024-04-01,Value/Contra,1328.0,202404
2024-05-01,ELSS,553.0,202405
2024-05-01,Flexi Cap,5529.0,202405
2024-05-01,Gilt,836.0,202405
2024-05-01,Hybrid,3487.0,202405
2024-05-01,Large & Mid Cap,4368.0,202405
2024-05-01,Large Cap,2076.0,202405
2024-05-01,Liquid,41872.0,202405
2024-05-01,Mid Cap,5300.0,202405
2024-05-01,Sectoral/Thematic,8354.0,202405
2024-05-01,Short Duration,4833.0,202405
2024-05-01,Small Cap,4092.0,202405
2024-05-01,Value/Contra,1361.0,202405
2024-06-01,ELSS,472.0,202406
2024-06-01,Flexi Cap,4478.0,202406
2024-06-01,Gilt,864.0,202406
2024-06-01,Hybrid,3163.0,202406
2024-06-01,Large & Mid Cap,4610.0,202406
2024-06-01,Large Cap,2519.0,202406
2024-06-01,Liquid,40486.0,202406
2024-06-01,Mid Cap,5047.0,202406
2024-06-01,Sectoral/Thematic,10030.0,202406
2024-06-01,Short Duration,4321.0,202406
2024-06-01,Small Cap,3535.0,202406
2024-06-01,Value/Contra,1386.0,202406
2024-07-01,ELSS,471.0,202407
2024-07-01,Flexi Cap,4869.0,202407
2024-07-01,Gilt,959.0,202407
2024-07-01,Hybrid,3291.0,202407
2024-07-01,Large & Mid Cap,5023.0,202407
2024-07-01,Large Cap,2574.0,202407
2024-07-01,Liquid,34643.0,202407
2024-07-01,Mid Cap,4548.0,202407
2024-07-01,Sectoral/Thematic,9896.0,202407
2024-07-01,Short Duration,4170.0,202407
2024-07-01,Small Cap,3582.0,202407
2024-07-01,Value/Contra,1582.0,202407
2024-08-01,ELSS,499.0,202408
2024-08-01,Flexi Cap,5562.0,202408
2024-08-01,Gilt,952.0,202408
2024-08-01,Hybrid,3684.0,202408
2024-08-01,Large & Mid Cap,5411.0,202408
2024-08-01,Large Cap,1940.0,202408
2024-08-01,Liquid,41952.0,202408
2024-08-01,Mid Cap,3899.0,202408
2024-08-01,Sectoral/Thematic,8360.0,202408
2024-08-01,Short Duration,4658.0,202408
2024-08-01,Small Cap,3376.0,202408
2024-08-01,Value/Contra,1308.0,202408
2024-09-01,ELSS,537.0,202409
2024-09-01,Flexi Cap,5397.0,202409
2024-09-01,Gilt,925.0,202409
2024-09-01,Hybrid,3015.0,202409
2024-09-01,Large & Mid Cap,4528.0,202409
2024-09-01,Large Cap,1879.0,202409
2024-09-01,Liquid,35308.0,202409
2024-09-01,Mid Cap,4960.0,202409
2024-09-01,Sectoral/Thematic,8518.0,202409
2024-09-01,Short Duration,5327.0,202409
2024-09-01,Small Cap,4137.0,202409
2024-09-01,Value/Contra,1334.0,202409
2024-10-01,ELSS,537.0,202410
2024-10-01,Flexi Cap,6004.0,202410
2024-10-01,Gilt,898.0,202410
2024-10-01,Hybrid,3314.0,202410
2024-10-01,Large & Mid Cap,4581.0,202410
2024-10-01,Large Cap,2255.0,202410
2024-10-01,Liquid,39091.0,202410
2024-10-01,Mid Cap,4106.0,202410
2024-10-01,Sectoral/Thematic,7680.0,202410
2024-10-01,Short Duration,4675.0,202410
2024-10-01,Small Cap,4444.0,202410
2024-10-01,Value/Contra,1595.0,202410
2024-11-01,ELSS,571.0,202411
2024-11-01,Flexi Cap,6111.0,202411
2024-11-01,Gilt,704.0,202411
2024-11-01,Hybrid,3264.0,202411
2024-11-01,Large & Mid Cap,5556.0,202411
2024-11-01,Large Cap,1870.0,202411
2024-11-01,Liquid,40506.0,202411
2024-11-01,Mid Cap,4336.0,202411
2024-11-01,Sectoral/Thematic,7397.0,202411
2024-11-01,Short Duration,5316.0,202411
2024-11-01,Small Cap,3256.0,202411
2024-11-01,Value/Contra,1436.0,202411
2024-12-01,ELSS,521.0,202412
2024-12-01,Flexi Cap,4654.0,202412
2024-12-01,Gilt,831.0,202412
2024-12-01,Hybrid,3538.0,202412
2024-12-01,Large & Mid Cap,4878.0,202412
2024-12-01,Large Cap,1923.0,202412
2024-12-01,Liquid,34933.0,202412
2024-12-01,Mid Cap,5023.0,202412
2024-12-01,Sectoral/Thematic,9820.0,202412
2024-12-01,Short Duration,4159.0,202412
2024-12-01,Small Cap,4249.0,202412
2024-12-01,Value/Contra,1414.0,202412
2025-01-01,ELSS,516.0,202501
2025-01-01,Flexi Cap,5603.0,202501
2025-01-01,Gilt,744.0,202501
2025-01-01,Hybrid,2967.0,202501
2025-01-01,Large & Mid Cap,4816.0,202501
2025-01-01,Large Cap,2025.0,202501
2025-01-01,Liquid,33892.0,202501
2025-01-01,Mid Cap,4316.0,202501
2025-01-01,Sectoral/Thematic,7893.0,202501
2025-01-01,Short Duration,4752.0,202501
2025-01-01,Small Cap,4554.0,202501
2025-01-01,Value/Contra,1339.0,202501
2025-02-01,ELSS,437.0,202502
2025-02-01,Flexi Cap,6068.0,202502
2025-02-01,Gilt,942.0,202502
2025-02-01,Hybrid,3360.0,202502
2025-02-01,Large & Mid Cap,5524.0,202502
2025-02-01,Large Cap,1925.0,202502
2025-02-01,Liquid,32374.0,202502
2025-02-01,Mid Cap,4819.0,202502
2025-02-01,Sectoral/Thematic,9215.0,202502
2025-02-01,Short Duration,4033.0,202502
2025-02-01,Small Cap,3534.0,202502
2025-02-01,Value/Contra,1400.0,202502
2025-03-01,ELSS,500.0,202503
2025-03-01,Flexi Cap,4767.0,202503
2025-03-01,Gilt,956.0,202503
2025-03-01,Hybrid,2830.0,202503
2025-03-01,Large & Mid Cap,4243.0,202503
2025-03-01,Large Cap,2234.0,202503
2025-03-01,Liquid,38681.0,202503
2025-03-01,Mid Cap,5061.0,202503
2025-03-01,Sectoral/Thematic,8614.0,202503
2025-03-01,Short Duration,4886.0,202503
2025-03-01,Small Cap,4304.0,202503
2025-03-01,Value/Contra,1497.0,202503
