date,fund_house,aum_crore,aum_lakh_crore,num_schemes
2022-03-31,SBI Mutual Fund,605000.0,6.05,186
2022-03-31,ICICI Prudential MF,465000.0,4.65,216
2022-03-31,HDFC Mutual Fund,435000.0,4.35,195
2022-03-31,Aditya Birla Sun Life MF,278000.0,2.78,199
2022-03-31,Kotak Mahindra MF,270000.0,2.7,168
2022-03-31,Nippon India MF,270000.0,2.7,177
2022-03-31,Axis Mutual Fund,250000.0,2.5,95
2022-03-31,UTI Mutual Fund,230000.0,2.3,142
2022-03-31,DSP Mutual Fund,110000.0,1.1,88
2022-03-31,Mirae Asset MF,105000.0,1.05,56
2022-09-30,SBI Mutual Fund,630000.0,6.3,186
2022-09-30,ICICI Prudential MF,488000.0,4.88,216
2022-09-30,HDFC Mutual Fund,445000.0,4.45,195
2022-09-30,Aditya Birla Sun Life MF,285000.0,2.85,199
2022-09-30,Nippon India MF,278000.0,2.78,177
2022-09-30,Kotak Mahindra MF,272000.0,2.72,168
2022-09-30,Axis Mutual Fund,240000.0,2.4,95
2022-09-30,UTI Mutual Fund,232000.0,2.32,142
2022-09-30,DSP Mutual Fund,112000.0,1.12,88
2022-09-30,Mirae Asset MF,108000.0,1.08,56
2023-03-31,SBI Mutual Fund,717000.0,7.17,186
2023-03-31,ICICI Prudential MF,500000.0,5.0,216
2023-03-31,HDFC Mutual Fund,450000.0,4.5,195
2023-03-31,Nippon India MF,293000.0,2.93,177
2023-03-31,Kotak Mahindra MF,289000.0,2.89,168
2023-03-31,Aditya Birla Sun Life MF,275000.0,2.75,199
2023-03-31,Axis Mutual Fund,241000.0,2.41,95
2023-03-31,UTI Mutual Fund,239000.0,2.39,142
2023-03-31,Mirae Asset MF,116000.0,1.16,56
2023-03-31,DSP Mutual Fund,115000.0,1.15,88
2023-09-30,SBI Mutual Fund,845000.0,8.45,186
2023-09-30,ICICI Prudential MF,590000.0,5.9,216
2023-09-30,HDFC Mutual Fund,535000.0,5.35,195
2023-09-30,Nippon India MF,340000.0,3.4,177
2023-09-30,Kotak Mahindra MF,325000.0,3.25,168
2023-09-30,Aditya Birla Sun Life MF,308000.0,3.08,199
2023-09-30,UTI Mutual Fund,265000.0,2.65,142
2023-09-30,Axis Mutual Fund,260000.0,2.6,95
2023-09-30,Mirae Asset MF,142000.0,1.42,56
2023-09-30,DSP Mutual Fund,132000.0,1.32,88
2024-03-31,SBI Mutual Fund,1000000.0,10.0,186
2024-03-31,ICICI Prudential MF,680000.0,6.8,216
2024-03-31,HDFC Mutual Fund,645000.0,6.45,195
2024-03-31,Nippon India MF,430000.0,4.3,177
2024-03-31,Kotak Mahindra MF,380000.0,3.8,168
2024-03-31,Aditya Birla Sun Life MF,340000.0,3.4,199
2024-03-31,UTI Mutual Fund,290000.0,2.9,142
2024-03-31,Axis Mutual Fund,280000.0,2.8,95
2024-03-31,Mirae Asset MF,175000.0,1.75,56
2024-03-31,DSP Mutual Fund,155000.0,1.55,88
2024-09-30,SBI Mutual Fund,1080000.0,10.8,186
2024-09-30,ICICI Prudential MF,742000.0,7.42,216
2024-09-30,HDFC Mutual Fund,710000.0,7.1,195
2024-09-30,Nippon India MF,468000.0,4.68,177
2024-09-30,Kotak Mahindra MF,405000.0,4.05,168
2024-09-30,Aditya Birla Sun Life MF,362000.0,3.62,199
2024-09-30,UTI Mutual Fund,308000.0,3.08,142
2024-09-30,Axis Mutual Fund,290000.0,2.9,95
2024-09-30,Mirae Asset MF,190000.0,1.9,56
2024-09-30,DSP Mutual Fund,172000.0,1.72,88
2024-12-31,SBI Mutual Fund,1114000.0,11.14,186
2024-12-31,ICICI Prudential MF,874000.0,8.74,216
2024-12-31,HDFC Mutual Fund,787000.0,7.87,195
2024-12-31,Nippon India MF,570000.0,5.7,177
2024-12-31,Kotak Mahindra MF,489000.0,4.89,168
2024-12-31,Aditya Birla Sun Life MF,384000.0,3.84,199
2024-12-31,UTI Mutual Fund,352000.0,3.52,142
2024-12-31,Axis Mutual Fund,300000.0,3.0,95
2024-12-31,Mirae Asset MF,210000.0,2.1,56
2024-12-31,DSP Mutual Fund,188000.0,1.88,88
2025-03-31,SBI Mutual Fund,1250000.0,12.5,186
2025-03-31,ICICI Prudential MF,880000.0,8.8,216
2025-03-31,HDFC Mutual Fund,795000.0,7.95,195
2025-03-31,Nippon India MF,560000.0,5.6,177
2025-03-31,Kotak Mahindra MF,492000.0,4.92,168
2025-03-31,Aditya Birla Sun Life MF,385000.0,3.85,199
2025-03-31,UTI Mutual Fund,355000.0,3.55,142
2025-03-31,Axis Mutual Fund,310000.0,3.1,95
2025-03-31,Mirae Asset MF,225000.0,2.25,56
2025-03-31,DSP Mutual Fund,195000.0,1.95,88
2025-12-31,SBI Mutual Fund,1250000.0,12.5,186
2025-12-31,ICICI Prudential MF,1074000.0,10.74,216
2025-12-31,HDFC Mutual Fund,930000.0,9.3,195
2025-12-31,Nippon India MF,700000.0,7.0,177
2025-12-31,Kotak Mahindra MF,580000.0,5.8,168
2025-12-31,Aditya Birla Sun Life MF,460000.0,4.6,199
2025-12-31,UTI Mutual Fund,410000.0,4.1,142
2025-12-31,Axis Mutual Fund,350000.0,3.5,95
2025-12-31,Mirae Asset MF,290000.0,2.9,56
2025-12-31,DSP Mutual Fund,230000.0,2.3,88
