transaction_id,investor_id,transaction_date,transaction_type,amount_inr,state,city,city_tier,age_group,gender,kyc_status,scheme_name,fund_house,category
1,INV000081,2024-01-01 00:00:00.000000,SIP,1842.0,Gujarat,Surat,T30,36-45,Male,Verified,Kotak Liquid Fund - Regular - Growth,Kotak Mahindra MF,Debt
2,INV000097,2024-01-01 00:00:00.000000,Redemption,527377.0,Karnataka,Mysore,B30,18-25,Male,Verified,HDFC Mid-Cap Opportunities Fund - Direct - Growth,HDFC Mutual Fund,Equity
3,INV000234,2024-01-01 00:00:00.000000,SIP,28094.0,Tamil Nadu,Coimbatore,B30,26-35,Male,Verified,Mirae Asset Large Cap Fund - Regular - Growth,Mirae Asset MF,Equity
4,INV000368,2024-01-01 00:00:00.000000,Redemption,339882.0,Uttar Pradesh,Agra,B30,26-35,Male,Verified,Nippon India Gilt Securities Fund - Regular - Growth,Nippon India MF,Debt
5,INV000428,2024-01-01 00:00:00.000000,SIP,9146.0,Delhi,Gurugram,T30,36-45,Male,Verified,Nippon India Gilt Securities Fund - Regular - Growth,Nippon India MF,Debt
6,INV000437,2024-01-01 00:00:00.000000,SIP,900.0,Telangana,Hyderabad,T30,26-35,Female,Verified,ICICI Pru Bluechip Fund - Direct - Growth,ICICI Prudential MF,Equity
7,INV000467,2024-01-01 00:00:00.000000,SIP,2623.0,Karnataka,Bangalore,T30,18-25,Female,Verified,SBI Bluechip Fund - Direct Plan - Growth,SBI Mutual Fund,Equity
8,INV000478,2024-01-01 00:00:00.000000,SIP,59382.0,Gujarat,Surat,T30,36-45,Female,Verified,ICICI Pru Value Discovery Fund - Regular - Growth,ICICI Prudential MF,Equity
9,INV000488,2024-01-01 00:00:00.000000,Redemption,343317.0,Karnataka,Mysore,B30,56+,Male,Verified,Mirae Asset Emerging Bluechip Fund - Regular - Growth,Mirae Asset MF,Equity
10,INV000548,2024-01-01 00:00:00.000000,SIP,1607.0,Karnataka,Mysore,B30,36-45,Male,Verified,Axis Small Cap Fund - Regular - Growth,Axis Mutual Fund,Equity
11,INV000576,2024-01-01 00:00:00.000000,Redemption,43157.0,Delhi,New Delhi,T30,46-55,Male,Verified,Kotak Bluechip Fund - Regular - Growth,Kotak Mahindra MF,Equity
12,INV000600,2024-01-01 00:00:00.000000,SIP,20890.0,Maharashtra,Mumbai,T30,26-35,Male,Verified,DSP Top 100 Equity Fund - Regular - Growth,DSP Mutual Fund,Equity
13,INV000603,2024-01-01 00:00:00.000000,SIP,2858.0,West Bengal,Kolkata,T30,26-35,Male,Verified,Nippon India Gilt Securities Fund - Regular - Growth,Nippon India MF,Debt
14,INV000609,2024-01-01 00:00:00.000000,SIP,8493.0,Tamil Nadu,Coimbatore,B30,18-25,Male,Verified,Kotak Emerging Equity Fund - Regular - Growth,Kotak Mahindra MF,Equity
15,INV000616,2024-01-01 00:00:00.000000,SIP,933.0,Maharashtra,Nashik,B30,36-45,Male,Verified,HDFC Top 100 Fund - Regular Plan - Growth,HDFC Mutual Fund,Equity
16,INV000786,2024-01-01 00:00:00.000000,SIP,15047.0,Madhya Pradesh,Bhopal,B30,26-35,Male,Verified,ABSL Liquid Fund - Regular - Growth,Aditya Birla Sun Life MF,Debt
17,INV000797,2024-01-01 00:00:00.000000,SIP,58257.0,Rajasthan,Jaipur,T30,36-45,Female,Verified,UTI Nifty 50 Index Fund - Regular - Growth,UTI Mutual Fund,Equity
18,INV000836,2024-01-01 00:00:00.000000,SIP,1139.0,Haryana,Gurugram,T30,26-35,Male,Verified,HDFC Top 100 Fund - Regular Plan - Growth,HDFC Mutual Fund,Equity
19,INV000852,2024-01-01 00:00:00.000000,SIP,15916.0,Maharashtra,Nashik,B30,26-35,Female,Verified,ABSL Liquid Fund - Regular - Growth,Aditya Birla Sun Life MF,Debt
