amfi_code,max_drawdown_pct,drawdown_start_date,drawdown_trough_date,drawdown_recovery_date,drawdown_days_to_trough
100016,-24.734440880673304,2022-03-30,2022-09-15,2023-03-14,169
100025,-4.308263824636349,2023-05-23,2023-07-28,2024-01-30,66
100033,-16.217208574644847,2022-03-11,2022-05-12,2022-07-27,62
101206,-11.291596329323072,2023-04-24,2023-07-05,2023-09-28,72
101207,-35.44691649336603,2024-11-21,2026-05-11,,536
101208,-0.16224980244717857,2023-09-05,2023-09-12,2023-09-22,7
102885,-10.85986215250232,2022-02-03,2022-03-29,2022-05-23,54
102886,-28.00112356639287,2025-01-07,2026-04-27,,475
102887,-21.539827112383225,2022-01-03,2022-07-04,2023-03-16,182
118632,-17.41407508665723,2024-01-02,2024-07-19,2025-05-21,199
118633,-18.62974313859551,2023-10-30,2024-02-29,2024-07-26,122
118634,-23.34488614483311,2025-04-09,2026-02-20,2026-04-15,317
118635,-11.650624505409091,2022-01-03,2022-06-09,2023-01-09,157
118636,-8.316361763638703,2023-02-09,2024-02-09,2024-11-01,365
119092,-14.401617909337261,2023-10-12,2025-02-07,2025-12-31,484
119093,-21.751396370148225,2022-02-24,2023-05-22,2023-12-26,452
119094,-20.960883862039193,2022-04-14,2022-08-11,2023-01-17,119
119095,-51.677753708526566,2025-05-22,2026-05-11,,354
119120,-4.328728923970093,2024-09-16,2025-04-01,2025-08-22,197
119551,-15.012385498645331,2023-08-24,2024-02-05,2025-01-08,165
119552,-11.803493502764296,2024-05-21,2024-09-02,2025-02-11,104
119598,-28.706005721764548,2024-08-28,2025-05-14,2025-09-29,259
119599,-52.57422117012851,2023-01-17,2025-10-28,,1015
120503,-13.897862823061635,2023-09-19,2023-11-09,2024-03-11,51
120504,-12.588275606922517,2022-10-04,2023-05-30,2023-07-11,238
120505,-18.188513572116292,2024-10-24,2025-01-23,2025-03-07,91
120506,-19.82565826298267,2023-03-31,2023-08-14,2024-01-11,136
120507,-0.09773140045925555,2025-10-16,2025-10-20,2025-10-24,4
120841,-17.57361416468729,2024-01-09,2025-02-14,2025-12-04,402
120842,-24.003511326274886,2023-11-09,2024-10-17,2025-10-14,343
120843,-12.97396816518679,2022-03-07,2022-04-13,2022-09-22,37
120844,-0.11629327956168556,2024-04-12,2024-04-30,2024-05-03,18
125497,-15.200013055606398,2023-12-22,2025-01-01,2025-04-16,376
125498,-21.11727956013212,2025-04-04,2025-09-12,2026-02-18,161
148567,-11.265729075028275,2023-07-11,2023-10-20,2024-02-21,101
148568,-15.27259422823477,2023-09-05,2024-01-24,2024-04-25,141
148569,-16.39674294693263,2023-08-10,2023-10-20,2024-04-10,71
149322,-14.844576917771747,2022-01-03,2022-02-04,2022-05-17,32
149323,-17.24810575345138,2022-06-06,2022-10-24,2022-12-20,140
149324,-31.171900300634213,2024-05-03,2025-01-03,2025-06-13,245
