amfi_code,scheme_name,fund_house,category,risk_category,num_trading_days,mean_daily_return_pct,std_daily_return_pct,var_95_pct,cvar_95_pct
101207,ABSL Small Cap Fund - Regular - Growth,Aditya Birla Sun Life MF,Equity,Very High,1607,0.030348248008927957,1.3740887489491658,-2.391462085614526,-3.028853855689586
119095,Axis Small Cap Fund - Regular - Growth,Axis Mutual Fund,Equity,Very High,1607,0.01303905319385395,1.3350614419805586,-2.328360266362247,-2.969003972741721
119599,SBI Small Cap Fund - Direct Plan - Growth,SBI Mutual Fund,Equity,Very High,1607,0.014394097557406789,1.328864786643244,-2.315543346345327,-3.0162858545493423
118634,Nippon India Small Cap Fund - Regular - Growth,Nippon India MF,Equity,Very High,1607,0.05055810081103002,1.3447324514868484,-2.2809809042508045,-2.993961894901776
149324,DSP Small Cap Fund - Regular - Growth,DSP Mutual Fund,Equity,Very High,1607,0.08538289409522097,1.3240778760917848,-2.152030425318905,-2.857253167644592
119598,SBI Small Cap Fund - Regular Plan - Growth,SBI Mutual Fund,Equity,Very High,1607,0.08587225151280507,1.3400750130382033,-2.1501921496768976,-2.844427140601086
119094,Axis Midcap Fund - Regular - Growth,Axis Mutual Fund,Equity,High,1607,0.07340857727686265,1.0346545250426622,-1.6996541912790986,-2.2374528784811143
120842,Kotak Emerging Equity Fund - Regular - Growth,Kotak Mahindra MF,Equity,High,1607,0.022301081006992268,0.9531694312195801,-1.6949938922196217,-2.125068794917235
100033,HDFC Mid-Cap Opportunities Fund - Regular - Growth,HDFC Mutual Fund,Equity,High,1607,0.07720563881574181,1.0097396034939694,-1.690162517076692,-2.1849843397164253
102886,UTI Mid Cap Fund - Regular - Growth,UTI Mutual Fund,Equity,High,1607,0.007851718479671676,0.9658530153023436,-1.6857052171303166,-2.177063382107187
125498,HDFC Mid-Cap Opportunities Fund - Direct - Growth,HDFC Mutual Fund,Equity,High,1607,0.034095589224577165,0.9776802498515431,-1.676236356598184,-2.148383217515083
120505,ICICI Pru Midcap Fund - Regular - Growth,ICICI Prudential MF,Equity,High,1607,0.08303404278076508,1.0287656640652714,-1.6224087303417265,-2.2363198028897977
149323,DSP Midcap Fund - Regular - Growth,DSP Mutual Fund,Equity,High,1607,0.07544583287486192,0.9463536254220201,-1.5865984799217414,-2.09026576862566
148569,Mirae Asset Tax Saver Fund - Regular - Growth,Mirae Asset MF,Equity,High,1607,0.08036951335964093,0.9426780103352598,-1.5259046371143081,-1.9851510510311667
102887,UTI Flexi Cap Fund - Regular - Growth,UTI Mutual Fund,Equity,Moderately High,1607,0.04614165885270434,0.8397900698220453,-1.3743344236293054,-1.7963512958246095
120843,Kotak Flexicap Fund - Regular - Growth,Kotak Mahindra MF,Equity,Moderately High,1607,0.07734513977832859,0.8475433582894382,-1.3327485173211562,-1.7114102153899122
148568,Mirae Asset Emerging Bluechip Fund - Regular - Growth,Mirae Asset MF,Equity,Moderately High,1607,0.05899241084656859,0.8225942096889486,-1.331269515511313,-1.7383918582139044
120506,ICICI Pru Value Discovery Fund - Regular - Growth,ICICI Prudential MF,Equity,Moderately High,1607,0.046482625327422186,0.8117022372451833,-1.3005352264566303,-1.7792496196296157
149322,DSP Top 100 Equity Fund - Regular - Growth,DSP Mutual Fund,Equity,Moderate,1607,0.037340793361016686,0.7648444867622881,-1.2955446642516755,-1.6995172112929815
100016,HDFC Top 100 Fund - Regular Plan - Growth,HDFC Mutual Fund,Equity,Moderate,1607,0.01012430639290185,0.7748542270135186,-1.2883548931908695,-1.6768321461436162
119092,Axis Bluechip Fund - Regular - Growth,Axis Mutual Fund,Equity,Moderate,1607,0.019660907921667005,0.743110393158781,-1.2692876487327587,-1.6166151944503535
148567,Mirae Asset Large Cap Fund - Regular - Growth,Mirae Asset MF,Equity,Moderate,1607,0.07676745728456716,0.7575042528464648,-1.2607396741943242,-1.6343197522742479
119093,Axis Bluechip Fund - Direct - Growth,Axis Mutual Fund,Equity,Moderate,1607,0.023584790440715285,0.7448936705057544,-1.258785333198682,-1.6331690102985696
120504,ICICI Pru Bluechip Fund - Direct - Growth,ICICI Prudential MF,Equity,Moderate,1607,0.06027755612771176,0.7659558020903954,-1.2531255294818833,-1.6225606809666344
125497,HDFC Top 100 Fund - Direct Plan - Growth,HDFC Mutual Fund,Equity,Moderate,1607,0.05073062891763177,0.7819146539356105,-1.250186045702889,-1.696448520682221
118632,Nippon India Large Cap Fund - Regular - Growth,Nippon India MF,Equity,Moderate,1607,0.061863389603131376,0.7545477689565593,-1.233346907720558,-1.6327725070326382
101206,ABSL Frontline Equity Fund - Regular - Growth,Aditya Birla Sun Life MF,Equity,Moderate,1607,0.060901455679676655,0.7768499251483441,-1.2173429806863612,-1.607512058946511
120503,ICICI Pru Bluechip Fund - Regular - Growth,ICICI Prudential MF,Equity,Moderate,1607,0.04987785465386744,0.7401502155837852,-1.2133236715948303,-1.6099692653253457
119552,SBI Bluechip Fund - Direct Plan - Growth,SBI Mutual Fund,Equity,Moderate,1607,0.05614460108258876,0.7432514266400865,-1.2129038937142642,-1.6078207856022269
118633,Nippon India Large Cap Fund - Direct - Growth,Nippon India MF,Equity,Moderate,1607,0.04406624097388715,0.7460052913751872,-1.206568147523046,-1.5542096862478805
119551,SBI Bluechip Fund - Regular Plan - Growth,SBI Mutual Fund,Equity,Moderate,1607,0.06555078837905065,0.7330332334181758,-1.1826841635318985,-1.5229577496502082
120841,Kotak Bluechip Fund - Regular - Growth,Kotak Mahindra MF,Equity,Moderate,1607,0.037323928579397585,0.7174637104271443,-1.1724966759344824,-1.5248574925611378
102885,UTI Nifty 50 Index Fund - Regular - Growth,UTI Mutual Fund,Equity,Moderate,1607,0.048202141031768404,0.6843511126520483,-1.1047180236723242,-1.4381301038700012
118635,Nippon India ETF Nifty 50 BeES,Nippon India MF,Equity,Moderate,1607,0.04293370201536983,0.6920092721147486,-1.103346672270995,-1.4938288639839212
119120,SBI Magnum Gilt Fund - Regular Plan - Growth,SBI Mutual Fund,Debt,Low,1607,0.015892114719192326,0.21152240878688539,-0.3428846226904114,-0.4618214851480345
118636,Nippon India Gilt Securities Fund - Regular - Growth,Nippon India MF,Debt,Low,1607,0.01440956918279976,0.21246315532048557,-0.3344389562199767,-0.45406871188527165
100025,HDFC Short Term Debt Fund - Regular - Growth,HDFC Mutual Fund,Debt,Low,1607,0.012158793324986601,0.20813351694717364,-0.3337613149587215,-0.45806565073636163
101208,ABSL Liquid Fund - Regular - Growth,Aditya Birla Sun Life MF,Debt,Low,1607,0.017270484270209066,0.029094497989141987,-0.02184446720203015,-0.0370888261084244
120844,Kotak Liquid Fund - Regular - Growth,Kotak Mahindra MF,Debt,Low,1607,0.018313125932914738,0.029684822914141477,-0.02038147642592136,-0.03620891285341904
120507,ICICI Pru Liquid Fund - Regular - Growth,ICICI Prudential MF,Debt,Low,1607,0.019137073431539846,0.028949196318156133,-0.019572938739494946,-0.03253526256203926
